UserID,Gender,Age,AppUsageTime,ScreenOnTime,PreferredAppCategory,UserBehaviorClass
0,Male,20,197,4.00,Productivity,3
1,Male,43,207,1.87,Productivity,2
2,Male,42,176,3.59,Social,5
3,Male,28,287,1.04,Productivity,3
4,Female,27,270,4.93,Social,2
5,Male,52,284,4.45,Social,1
6,Male,38,241,1.22,Social,2
7,Female,35,124,2.23,Social,2
8,Female,43,104,3.23,Productivity,3
9,Male,51,68,2.75,Social,1
10,Female,40,54,2.90,Social,4
11,Male,19,273,3.58,Productivity,5
12,Male,35,164,1.27,Productivity,3
13,Female,41,169,2.78,Social,4
14,Male,48,45,4.32,Social,1
15,Male,20,161,4.13,Productivity,5
16,Male,39,171,4.44,Social,1
17,Male,55,206,4.58,Productivity,1
18,Female,57,277,2.08,Social,4
19,Male,22,173,4.28,Productivity,3
20,Female,32,65,2.98,Productivity,1
21,Male,26,31,4.32,Productivity,1
22,Male,30,238,2.87,Productivity,3
23,Female,36,105,4.05,Productivity,3
24,Male,44,283,1.63,Productivity,4
25,Male,59,167,4.32,Social,1
26,Male,38,54,2.56,Productivity,3
27,Female,34,141,2.36,Productivity,2
28,Male,18,283,2.94,Social,3
29,Female,41,159,2.91,Social,5
30,Male,49,273,4.00,Productivity,4
31,Female,42,87,3.12,Productivity,3
32,Male,53,173,4.87,Social,4
33,Male,35,157,2.05,Social,2
34,Male,45,103,4.93,Social,5
35,Female,20,87,4.06,Productivity,4
36,Male,49,237,4.54,Productivity,3
37,Female,47,250,2.36,Productivity,2
38,Female,51,57,4.18,Productivity,1
39,Female,21,133,1.00,Productivity,5
40,Male,37,33,3.45,Productivity,4
41,Male,48,132,1.98,Social,5
42,Female,25,210,2.79,Productivity,3
43,Female,37,53,4.75,Social,5
44,Male,31,101,4.51,Productivity,5
45,Male,34,233,2.82,Social,3
46,Female,32,99,4.20,Productivity,5
47,Female,52,189,3.25,Productivity,2
48,Male,52,97,4.44,Productivity,1
49,Male,59,261,1.61,Social,5
50,Female,46,212,2.41,Social,4
51,Female,31,90,2.57,Productivity,2
52,Female,38,137,3.85,Productivity,3
53,Female,36,125,1.25,Productivity,3
54,Female,35,274,4.32,Productivity,4
55,Male,29,219,4.88,Productivity,4
56,Male,50,220,3.12,Productivity,3
57,Male,27,62,4.35,Social,3
58,Female,18,207,4.50,Social,4
59,Female,39,32,4.52,Productivity,5
60,Male,58,167,4.32,Productivity,3
61,Male,20,165,3.70,Social,5
62,Male,52,278,2.49,Social,3
63,Male,43,219,2.74,Productivity,2
64,Female,33,69,1.50,Productivity,1
65,Female,56,132,3.60,Productivity,2
66,Male,30,194,1.26,Social,4
67,Female,57,254,4.31,Social,1
68,Female,28,144,2.32,Social,5
69,Male,21,155,4.70,Productivity,5
70,Male,37,201,1.13,Social,3
71,Male,38,274,2.27,Social,3
72,Male,27,158,4.56,Productivity,3
73,Female,44,113,1.82,Social,1
74,Male,43,145,3.59,Productivity,4
75,Female,39,298,4.38,Productivity,1
76,Male,26,75,4.01,Social,1
77,Female,50,138,2.47,Social,5
78,Male,47,78,2.17,Social,2
79,Female,22,72,2.51,Social,2
80,Female,48,87,4.55,Productivity,1
81,Male,27,297,4.63,Productivity,2
82,Female,47,41,4.87,Social,1
83,Male,21,221,2.21,Social,1
84,Female,27,53,4.99,Productivity,3
85,Female,19,171,3.97,Social,2
86,Female,27,195,3.94,Productivity,4
87,Female,52,103,1.89,Social,3
88,Male,55,79,1.50,Productivity,3
89,Male,21,91,4.77,Productivity,2
90,Female,55,219,4.55,Productivity,3
91,Male,55,194,4.34,Social,3
92,Male,57,277,2.54,Social,3
93,Male,52,154,3.12,Productivity,5
94,Female,39,70,2.04,Social,2
95,Female,34,257,3.21,Social,4
96,Male,28,96,1.89,Social,5
97,Female,34,86,3.62,Productivity,5
98,Female,48,207,4.84,Productivity,5
99,Male,35,298,4.81,Productivity,1
